যাওয়াই	যাওয়া
চেকে	চেক
জিয়াউদ্দীন	জিয়াউদ্দীন
মুভিতে	মুভি
ক্যাটালগের	ক্যাটালগ
মেলাটি	মেলা
পিথাগোরাস	পিথাগোরাস
উদাস	উদাস
বধিরকেও	বধির
ছাপাই	ছাপ
সর্বসাকুল্যে	সর্বসাকুল্যে
হতাশাগ্রস্ত	হতাশা
খুক	খুক
নিচের	নিচ
নওরীন	নওরীন
অলিম্পিয়াডের	অলিম্পিয়াড
দম্পতিরা	দম্পতি
শেষটাও	শেষ
মুখোশধারী	মুখোশ
বারুদ	বারুদ
শাহজাদ	শাহজাদ
কমান্ডো	কমান্ডো
স্ট্রেট	স্ট্রেট
শাবনূর	শাবনূর
পুনর্মিলিত	পুনর্মিল
বিদিত	বিদিত
ইউএনএইচসিআরের	ইউএনএইচসিআর
ড্যান্সিং	ড্যান্সিং
ধুলো	ধুল
ভেড়া	ভেড়া
পাশ্চাত্য	পাশ্চাত্য
অকাদেমি	অকাদেমি
মূলের	মূল
আশ্রমে	আশ্রম
ভোগে	ভোগ
স্মৃতিস্তম্ভটি	স্মৃতিস্তম্ভ
জেনন	জেনন
কিয়ারা	কিয়ারা
উঠানোর	উঠা
ছিলো	ছিল
প্র্যাকটিক্যাল	প্র্যাকটিক্যাল
কর্তনের	কর্তন
চিট	চিট
রাস্তা	রাস্তা
বেইমান	ইমান
ফখরুদ্দিন	ফখরুদ্দিন
আবাদ	আবাদ
এমিন	এমিন
শৌচাগারে	শৌচাগার
টরন্টো	টরন্টো
সতর্কতার	সতর্কতা
ফিলিপিনো	ফিলিপিন
ট্রান্সপারেন্ট	ট্রান্সপারেন্ট
সুফিয়ান	সুফিয়ান
শোকাহত	শোক
কাভানির	কাভানি
অনিচ্ছাকৃতভাবে	অনিচ্ছা
অপরাধপ্রবণতা	অপরাধ
দার্শনিকদের	দার্শনিক
প্যাভিলিয়ন	প্যাভ
অসার	অসার
সমাজগৃহে	সমাজ
ঝুল	ঝুল
বেশকিছু	বেশ
লিভারে	লিভার
অজানাই	জানা
মুবিন	মুবিন
রাওয়ালপিন্ডির	রাওয়ালপিন্ডি
মূলধন	মূলধন
ডিজেলের	ডিজেল
জোরালো	জোর
ব্রাজিলের	ব্রাজিল
মিলিয়নিয়ার	মিলিয়নিয়ার
ইয়ার	ইয়ার
সুবহান	সুবহান
উপযোগী	উপযোগ
হয়রানি	হয়রানি
হানতে	হানতে
টলন	টলন
লোমহর্ষক	লোম
সার্ভিসের	সার্ভিস
রেড্ডি	রেড্ডি
তোষজনক	তোষ
কোষাগারে	কোষাগার
স্ট্যাম্পে	স্ট্যাম্প
হজ্জ	হজ্জ
উত্তরবঙ্গ	উত্তরবঙ্গ
মাতৃতান্ত্রিক	মাতৃ
হৃদয়ে	হৃদয়
সম্মিলনী	সম্মিলন
কুয়েতের	কুয়েত
মাইক্রোমিটার	মাইক্রোমিটার
মঞ্চায়িত	মঞ্চ
হেবলের	হেবল
মিত	মিত
গলায়	গলা
দোকানটির	দোকান
ভেজা	ভেজা
অসামঞ্জস্যতা	অসামঞ্জস্য
আনন্দে	আনন্দ
মঙ্গলের	মঙ্গল
ইহাকে	ইহা
ছানা	ছানা
আস্বাদন	স্বাদ
সদস্যরাই	সদস্য
পিএসজি	পিএসজি
বেডরুমের	বেডরুম
কম্পনের	কম্পন
পরিবর্তন	পরিবর্তন
বচনের	বচন
ধোঁয়া	ধোঁয়া
ওয়ার্ন	ওয়ার্ন
দরিদ্রের	দরিদ্র
অ্যাকশনএইড	অ্যাকশন
ইনফ্লুয়েঞ্জার	ইনফ্লুয়েঞ্জা
তীব্রতায়	তীব্র
মৌরি	মৌরি
চিত্রলেখা	চিত্র
ধনঞ্জয়	ধনঞ্জয়
স্মৃতিগুলো	স্মৃতি
ল্যাঙ্কাশায়ারের	ল্যাঙ্কাশায়ার
ডিপার্টমেন্টে	ডিপার্টমেন্ট
দীর্ঘসময়	দীর্ঘসময়
তিনটি	তিন
মাহাথির	মাহাথির
স্বভাব	স্বভাব
কাগজপত্রসহ	কাগজ
নতুনতর	নতুন
ব্যাটিংয়েও	ব্যাটিং
সমাধানে	সমাধান
বরকত	বরকত
হেজাজের	হেজাজ
উন্মোচনের	উন্মোচন
এইখানেই	এইখানে
সোনাসহ	সোনা
বাবাজি	বাবা
ধর্মগ্রন্থ	ধর্মগ্রন্থ
আগাতে	আগাত
সিস্টার্স	সিস্টার্স
জুটিতে	জুটি
কাইরন	কাইরন
সেও	সে
সেকেন্ডেই	সেকেন্ড
ন্যানো	ন্যানো
বালুকাময়	বালু
ভ্যানিলা	ভ্যানিলা
হিলিয়মের	হিলিয়ম
উত্তাপ	উত্তাপ
অভ্যন্তরে	অভ্যন্তর
ঘামায়	ঘাম
শোনে	শোন
ইমারতটি	ইমারত
নাস্তিকতা	নাস্তিক
সমাজতন্ত্রী	সমাজ
প্রশিক্ষণে	প্রশিক্ষণ
দিনগুলি	দিন
অ্যালার্জি	অ্যালার্জি
ড্রাইভারকে	ড্রাইভার
খাদ্যাভ্যাস	খাদ্য
সাবধানতা	সাবধান
দেশিত	দেশ
শোয়াইন	শোয়াইন
জায়গাগুলোতে	জায়গা
গৌতমের	গৌতম
পুটখালী	পুটখালী
গ্রিজমান	গ্রিজমান
বিভিন্নজনের	বিভিন্নজন
পলিটব্যুরোর	পলিটব্যুরো
স্যারকে	স্যার
রহমতের	রহমত
শাসকদের	শাসক
ধীরগতিতে	ধীর
ঘোড়ামারা	ঘোড়া
মহিউদ্দিনের	মহিউদ্দিন
অপ্রতিরোধ্য	প্রতিরোধ
বড়দিন	বড়
পেটে	পেট
কর্মব্যস্ততার	কর্মব্যস্ততা
এক্সচেঞ্জ	এক্সচেঞ্জ
সাভার	সাভার
কোনোটায়	কোনোটা
প্রাকদর্শন	প্রাকদর্শন
লাগামছাড়া	লাগাম
ইসলা	ইসলা
ক্লাসরুমের	ক্লাসরুম
অষ্টম	অষ্টম
ফ্লিট	ফ্লিট
পাড়ায়	পাড়া
রীমা	রীমা
তপন	তপন
নামঞ্জুর	নামঞ্জুর
খুরুশকুল	কুল
কল্যাণপুরের	কল্যাণপুর
নজরদারিতে	নজর
মোটেই	মোট
আইএসের	আইএস
আবদুল্লাহ্	আবদুল্লাহ
গাঁ	গাঁ
প্রপোজ	প্রপোজ
আনিছুর	আনিছুর
বারাকা	বারা
বয়ফ্রেন্ড	বয়ফ্রেন্ড
ঐক্যের	ঐক্য
সিটিএন	সিটিএন
সাদরে	সাদর
অবস্থাটা	অবস্থা
উসূলে	উসূল
পরিপক্ব	পক্ব
তরু	তরু
নৌপরিবহনমন্ত্রী	পরিবহনমন্ত্রী
লোকদের	লোক
বিভাস	বিভাস
ডুবানো	ডুব
দিয়েছিলো	দিয়
রেস্টুরেন্টে	রেস্টুরেন্ট
কন্ডাক্টর	কন্ডাক্টর
মুখার্জী	মুখার্জী
হ্রদের	হ্রদ
বাউন্ডারি	বাউন্ডারি
সহশিল্পী	শিল্পী
পাঠদানের	পাঠদান
নামতেই	নাম
চ্যাম্পিয়ন	চ্যাম্পিয়ন
সবিশেষ	বিশেষ
উন্নয়নশীল	উন্নয়ন
টুকরো	টুকরো
ভবিষ্যদ্বাণীগুলো	ভবিষ্যদ্বাণীগুলো
ধর্ষন	ধর্ষন
কিই	কি
ধীরস্থির	ধীর
খলনায়ক	নায়ক
করার	কর
উপশমকারী	উপশম
ইন্টেলিজেন্স	ইন্টেলিজেন্স
বিনিময়	বিনিময়
সোলায়মান	সোলায়মান
অকাতরে	কাতর
আশুলিয়া	আশুলিয়া
বাতিঘরের	বাতিঘর
রেলমন্ত্রীর	রেলমন্ত্রী
নাগাল্যান্ড	নাগাল্যান্ড
স্থানীয়ভাবে	স্থান
দীনের	দীন
মেয়েগুলো	মেয়ে
লিখন	লিখন
পেশার	পেশা
সেপ্টম্বর	সেপ্টম্বর
কঙ্কাল	কঙ্কাল
মসলাদার	মসলা
শৌলকে	শৌল
গডস	গড
গণনাপুস্তক	গণনাপুস্তক
নার্সিং	নার্স
আকারটি	আকার
কাশফুলের	কাশফুল
প্রজাতিটির	প্রজাতি
মেঘমালা	মেঘ
প্রদর্শীত	প্রদর্শীত
ত্রি	ত্রি
দশমিকের	দশমিক
সিটে	সিট
নুনের	নুন
অলক	অলক
কাশিয়ানী	কাশিয়ান
পরিনতি	পরিনতি
সুপারিশসহ	সুপারিশ
আইনসমূহ	আইন
দানাদার	দানা
গুণাবলী	গুণ
দোলনা	দোলনা
মুসলিমদেরকে	মুসলিম
উঠিবে	উঠ
ফোর্সে	ফোর্স
চাহিদাসম্পন্ন	চাহিদা
উৎসরিত	উৎস
সংশোধনীতে	সংশোধনী
বায়ুশূন্য	বায়ু
সুয়েজ	সুয়েজ
বাতিলসহ	বাতিল
বাইবেলে	বাইবেল
ভাবত	ভাব
দোকানে	দোকান
ব্যারিয়ার	ব্যারিয়ার
নিরীক্ষায়	নিরীক্ষা
ভারতীয়রা	ভারত
যথায়	যথা
আপুকে	আপু
বিচূর্ণ	চূর্ণ
ছুটছি	ছুট
তেনজিং	তেনজিং
উচ্চকক্ষ	কক্ষ
নির্যাতনকে	নির্যাতন
মহাশূন্যের	মহাশূন্য
হাসেমের	হাসেম
খাওয়াচ্ছেন	খাওয়া
শোনো	শোন
অধ্যাপক	অধ্যাপক
নোয়াখালী	নোয়াখালী
নিটল	নিটল
কথাতে	কথা
রসূলরূপে	রসূল
গুনফল	গুনফল
শিল্প	শিল্প
শরণ	শরণ
ঢোল	ঢোল
আপডেটের	আপডেট
হামাগুড়ি	হামাগুড়ি
আধুনিককালের	আধুনিককাল
পাক্কা	পাক্কা
প্রাগুক্ত	প্রাগুক্ত
ডেভেলপ	ডেভেলপ
বইপুস্তক	বই
মধ্যস্বত্বভোগী	মধ্যস্বত্ব
জুটিই	জুটি
খাতভিত্তিক	খাত
কালী	কালী
পোস্টারগুলো	পোস্টার
বিক্রয়োত্তর	বিক্রয়
নাজিরহাট	নাজিরহাট
দৃশ্যাবলী	দৃশ্য
বাজেটও	বাজেট
পিএসএলে	পিএসএল
লাকী	লাক
ক্রাচে	ক্রাচ
ভাষানটেক	ভাষানটেক
কুলাঙ্গার	কুলাঙ্গার
পরিকল্পনাকে	পরিকল্পনাক
কোলের	কোল
অঞ্জনা	অঞ্জনা
সঞ্চালনের	সঞ্চালন
আমলাতান্ত্রিক	আমলা
ফাইভ	ফাইভ
ইঙ্গিতও	ইঙ্গিত
মুন্না	মুন্না
সাবেক	সাবেক
লেফট	লেফট
আতিথেয়তার	আতি
অযুত	অযুত
বয়ঃসন্ধিকাল	বয়ঃসন্ধিকাল
অ্যানড্রয়েড	অ্যানড্রয়েড
স্মারকগ্রন্থ	স্মারক
ফিলিস্তিনি	ফিলিস্তিন
পঞ্চায়েতগুলি	পঞ্চায়েত
সিপিআইএম	সিপিআই
হয়নি	হয়
বিদ্যালয়টির	বিদ্যালয়
সংখ	সংখ
রাজনীতিতে	রাজ
পাইকারী	পাইকারী
স্কুলেই	স্কুল
বিবরণগুলো	বিবরণ
সরলরেখা	সরল
এলিজা	এলিজা
অগ্নির	অগ্নি
রাজপথের	রাজপথ
রক্ষণাবেক্ষণকারী	রক্ষণাবেক্ষণ
সমালোচনায়	সমালোচনা
ব্যাংকটিতে	ব্যাংক
চঞ্চলের	চঞ্চল
অভিবাসনের	অভিবাসন
রাস্তাগুলোতে	রাস্তা
সাধুবাদ	সাধু
বাধে	বাধ
বাড়িসহ	বাড়ি
রেনেসাঁস	রেনেসাঁস
মালো	মালো
ফসলাদি	ফসল
আলপনা	আলপনা
রোস্ট	রোস্ট
ক্রান্তিলগ্নে	ক্রান্তি
ব্রয়লার	ব্রয়লার
তাপপ্রবাহ	তাপপ্রবাহ
লাটিম	লাটিম
কলাপসিবল	কলাপসিবল
জয়বর্মণ	জয়
জিনতা	জিনতা
ঝুনা	ঝুনা
এটিপি	এটিপি
মিলেছে	মিল
শান্তির	শান্তি
স্কুটারের	স্কুটার
প্রসাধনসামগ্রী	প্রসাধন
হাদীছে	হাদীছ
আরোগ্যের	আরোগ্য
ইলেক্ট্রা	ইলেক্ট্রা
কানাড়া	কানাড়া
নদী	নদী
বাণিজ্যিকভাবে	বাণিজ্যিক
রামগঞ্জ	রামগঞ্জ
রাজ্যগুলোকে	রাজ্য
কোয়ালিশন	কোয়ালিশন
বোঝাতে	বোঝ
নাতির	নাতি
দিকটির	দিক
ছোটভাই	ছোটভাই
সুপরিকল্পিত	পরিকল্পিত
পেল	পেল
রবার্ট	রবার্ট
প্রজেক্টে	প্রজেক্ট
জেলাটি	জেলা
মঞ্চটি	মঞ্চ
ব্লুম	ব্লুম
বৃষ্টির	বৃষ্টি
সিন্ধুতে	সিন্ধু
মোটেই	মোটে
ইমেলের	ইমেল
তৈলাক্তকরণ	তৈলাক্তকরণ
সিজিপিএ	সিজিপিএ
সংযমের	সংযম
বাপরে	বাপ
পিওএস	পিওএস
ভাসিলি	ভাসিলি
সৈন্যদলে	সৈন্য
নিঃসন	নিঃসন
অরিজিৎ	অরিজিৎ
আন্দোলনটি	আন্দোলন
স্পেনিশ	স্পেনিশ
বাংলাদেশেও	বাংলাদেশ
হাঙ্গেরির	হাঙ্গেরি
ইটিভির	ইটিভি
নৌকাডুবির	নৌকাডুবি
রাষ্ট্রক্ষমতা	রাষ্ট্র
শুল্ক	শুল্ক
হাতিরঝিলে	হাতিরঝিল
ছবিগুলোর	ছবি
বুঝতেও	বুঝ
রাহেলের	রাহেল
রেন্টালের	রেন্টাল
মসমূহ	মস
প্রভু	প্রভু
হলমার্ক	হলমার্ক
শৌর্য	শৌর্য
পিক্সেল	পিক্সেল
আনেনি	আন
কবিগুরুর	কবি
একচেটিয়া	একচেটিয়া
পোঁতা	পোঁতা
রনবীর	রনবীর
জুলিয়া	জুলিয়া
ফরয	ফরয
তেলযুক্ত	তেল
প্রোটিনকে	প্রোটিন
ঐতিহ্যগত	ঐতিহ্য
ক্রমশ	ক্রমশ
ভারতসহ	ভারত
ফিটনেস	ফিটনেস
আফ্রিদি	আফ্রিদি
নামধাম	নাম
পূর্বপরিচিত	পূর্বপরিচিত
গ্রুপ	গ্রুপ
কৌশলও	কৌশল
শিক্ষাগ্রহণের	শিক্ষা
এক্সএনএমএক্সে	এক্সএনএমএক্স
সের	সের
বহিস্কার	বহিস্কার
থাকলো	থাক
জিএল	জিএল
মতলব	মতলব
বোদা	বোদা
উদ্দিন	উদ্দিন
প্রধানেরা	প্রধান
পাঞ্চাল	পাঞ্চাল
সেভ	সেভ
নাসরিন	নাস
দশবার	দশ
কেমনে	কেমন
অস্ট্রেলিয়া	অস্ট্রেলিয়া
এলিয়েন	এলিয়েন
ফেরী	ফেরী
ধর্মশাস্ত্র	ধর্মশাস্ত্র
সদস্যের	সদস্য
রুটী	রুটী
দ্বৈতের	দ্বৈত
আচারের	আচার
গৃহকে	গৃহ
ব্যাসের	ব্যাস
পরিত্যক্তা	পরিত্যক্ত
নগরীর	নগর
বিচারিত	বিচারিত
আমিনপুর	আমিনপুর
নগাঁও	নগাঁও
কীর্তিমান	কীর্তি
প্রার্থীদের	প্রার্থী
ক্যাকটাস	ক্যাকটাস
হাসি	হাস
পরিবহনশ্রমিকদের	পরিবহন
নিষেধের	নিষেধ
গকেট	গকেট
এবিপি	এবিপি
হয়ে	হয়
গিবসন	গিবসন
খাটেন	খাট
হাব	হাব
প্রতিষ্ঠার	প্রতিষ্ঠা
ওঠেছে	ওঠে
নেশন্স	নেশন্স
প্রচুর	প্রচুর
একসেস	একসেস
দ্রব্যাদি	দ্রব্য
অতীত	অতীত
রসুনের	রসুন
বাঁধাকপির	বাঁধাকপি
পাঠিয়েছিল	পাঠিয়ে
সওয়া	সওয়া
ঐতিহাসিকদের	ঐতিহাসিক
দাম্ভিক	দাম্ভিক
উপকূলরেখা	উপকূল
এড়ানোর	এড়ান
লুঝনিকি	লুঝনি
সাহাবি	সাহাবি
দুটিতেই	দুটি
অর্থদণ্ডে	অর্থদণ্ড
পিচাই	পিচাই
খুশিও	খুশি
বিপদেই	বিপদ
পঞ্চমী	পঞ্চমী
ছানার	ছানা
দেখোনি	দেখ
প্রবন্ধগুলোতে	প্রবন্ধ
বোতলজাত	বোতল
পেলের	পেলে
বর্ষণ	বর্ষণ
খেলতেও	খেলত
রোদচশমা	রোদচশমা
কাচালং	লং
যোসেফ	যোসেফ
পাঠকদের	পাঠক
জারিন	জারিন
পতেঙ্গা	পতেঙ্গা
শুক	শুক
গোলায়	গোলা
অর্জুনা	অর্জুন
মুনীর	মুনীর
উদ্ভিদবিজ্ঞানী	উদ্ভিদ
সম্রাজ্ঞী	সম্রাজ্ঞী
বিশ্বযুদ্ধে	বিশ্ব
পোশাকশ্রমিককে	পোশাকশ্রমিক
ক্ষতিগ্রস্তদের	ক্ষতি
ঠাকুরগাঁওয়ে	ঠাকুরগাঁও
সমুদয়	সমুদয়
আহ্বানকে	আহ্বান
পররাষ্ট্রসচিব	পররাষ্ট্র
বাক্যবিনিময়	বাক্যবিনিময়
ফ্রি	ফ্রি
নিম্নোক্ত	নিম্নোক্ত
পুনশ্চ	পুনশ্চ
গাড়িটার	গাড়ি
মূল্যবৃদ্ধি	মূল্য
সেনা	সেনা
সাগর	সাগর
সদৃশ্য	সদৃশ্
ইমামদের	ইমাম
ফিরিয়ে	ফির
নাপোলির	নাপোলি
তুলেছেন	তুল
ভাবে	ভাব
এসবকে	সব
বাঁচেন	বাঁচ
মাই	মাই
খ্রিষ্টপূর্বাব্দে	খ্রিষ্টপূর্বাব্দ
রেভারেন্ড	রেভারেন্ড
সাজঘরে	সাজঘর
জ্যোতিষ	জ্যোতিষ
নিদ্রা	নিদ্রা
অপত্য	অপত্য
টিকিটে	টিকিট
কৈশোরে	কৈশোর
সুপারমার্কেট	মার্কেট
টোপ	টোপ
ধৃতরাষ্ট্র	ধৃতরাষ্ট্র
আইশের	আইশ
কণ্ঠস্বর	কণ্ঠস্বর
পুষ	পুষ
আজিজা	আজিজা
সিরাজকে	সিরাজ
নিরাকার	নিরাকার
ইনষ্টল	ইনষ্টল
আজিজার	আজিজা
জাতিগোষ্ঠী	জাতি
পৌঁছে	পৌঁছ
পদুয়া	পদুয়া
হেরে	হেরে
স্ন্যাক	স্ন্যাক
পুরুষাঙ্গ	পুরুষাঙ্গ
পিতৃপুরুষরা	পিতৃ
নেননি	নেন
ছাদ	ছাদ
শিলিগুড়ি	শিলিগুড়ি
গোডাউন	গোডাউন
লেভেলে	লেভেল
ছাত্রজীবনের	ছাত্র
মেশিনকে	মেশিন
দেওয়ারও	দেওয়া
কাউন্সিলরকে	কাউন্সিলর
অনশনে	অনশন
অদল	দল
পরিহাসের	পরিহাস
সাইনআপ	সাইনআপ
ভেক্টরটি	ভেক্টর
প্রেসের	প্রেস
কলিঙ্গ	কলিঙ্গ
সেচের	সেচ
সন্তানদের	সন্তান
দূর্গ	দূর্গ
মন্ডলীর	মন্ডলী
তওবার	তওবা
প্রেসিডেন্টকে	প্রেসিডেন্ট
কৌতূহলী	কৌতূহল
প্রয়োগ	প্রয়োগ
রান্নাঘরের	রান্নাঘর
ভিসেরা	ভিসেরা
সম্মান	সম্মান
রাজাকারকে	রাজাকার
ব্যাবসায়িক	ব্যাবসা
ইউনিট	ইউনিট
স্বঘোষিত	ঘোষিত
লুসাই	লুসাই
হায়েয	হায়েয
মেলভিন	মেলভিন
নিষ্কলঙ্ক	নিষ্কলঙ্ক
নির্ধারণী	নির্ধারণ
বুড়িগঙ্গায়	বুড়িগঙ্গা
সমন্বয়কের	সমন্বয়
বোঝে	বোঝ
লালবাগের	লালবাগ
এজেন্টকে	এজেন্ট
তুড়ি	তুড়ি
হেরিং	হেরিং
পিয়ের	পিয়ের
পলকের	পলক
কপিকল	কপিকল
ভিডিওচিত্র	ভিডিও
নির্মাতাকে	নির্মাতা
গতিশীলতার	গতিশীল
নেওয়াকে	নেওয়া
কেও	কেও
সিস্টেম	সিস্টেম
ইতর	ইতর
বিবরন	বিবরন
থাকে	থাক
রেইক্	রেইক্
হাকিমপুর	হাকিমপুর
আলঙ্কারিক	আলঙ্কার
উদাহরণটি	উদাহরণ
শিম্পাঞ্জির	শিম্পাঞ্জি
করেন	করেন
ভাবায়	ভাব
যেগুলিতে	যেগুলি
চটি	চটি
স্নেহের	স্নেহ
রিচার্ডসন	রিচার্ডসন
পাতাগুলো	পাতা
গণপিটুনি	গণ
অভিভাবকত্ব	অভিভাবক
চারেক	চার
জিম্মাদার	জিম্মা
লাইটওয়েট	লাইটওয়েট
অঞ্চলসহ	অঞ্চল
মেয়েটিকে	মেয়ে
সময়সীমা	সময়
ব্যাহত	ব্যাহত
ব্যাকফুটে	ফুট
কমিটিকে	কমিটি
কেসিসি	কেসিসি
প্রেরিতকে	প্রেরিত
সীতাকুন্ড	সীতাকুন্ড
আইপিইউ	আইপিইউ
নির্বাসন	নির্বাসন
আহাদের	আহাদ
মোর্শেদ	মোর্শেদ
পেশিবহুল	পেশি
সাকিবই	সাকিব
আম্বর	আম্বর
উঠতাম	উঠ
আঁকাবাঁকা	আঁকাবাঁকা
সেবকদের	সেবক
খুঁজলে	খুঁজ
বকরকে	বকরক
নয়জনকে	জন
ভাববাদীর	ভাব
অজ্ঞদের	অজ্ঞ
মফিজ	মফিজ
আম্বানি	আম্বানি
স্পর্ধা	স্পর্ধা
চিত্রশিল্পী	চিত্র
একগুঁয়ে	এক
সুচনা	সুচনা
সদস্যভুক্ত	সদস্য
পৌঁছাবে	পৌঁছা
বসনিয়ার	বসনিয়া
ইংরেজী	ইংরেজী
চিপবোর্ড	বোর্ড
প্রস্তুতির	প্রস্তুত
পররাষ্ট্রমন্ত্রীর	পররাষ্ট্রমন্ত্রী
হলেন	হল
আদমশুমারীর	আদমশুমারীর
বোলৎসমানের	বোলৎসমান
প্রশ্বাস	শ্বাস
বীর্যস্খলন	বীর্য
খেয়েছিলেন	খেয়েছিল
কন্ঠশিল্পী	শিল্পী
বাত	বাত
মেলানোর	মেলা
অস্পষ্টভাবে	স্পষ্ট
বিলেতে	বিলেত
ভেড়ার	ভেড়া
ইঞ্জিনিয়ার্স	ইঞ্জিনিয়ার
জ্যাকলিন	জ্যাকলিন
চালের	চাল
হেলেনা	হেলেনা
শেয়ারিং	শেয়ার
সৈন্যবাহিনীকে	সৈন্যবাহিনী
দিয়াছেন	দিয়া
ক্রিকেটার্স	ক্রিকেট
রবীন্দ্রনাথ	রবীন্দ্রনাথ
বিলিয়ন	বিলিয়ন
যেতেই	যেত
ধরেননি	ধরেন
ফেলিক্স	ফেলিক্স
বাড়ালে	বাড়াল
ভোল্টা	ভোল্ট
ভোটদান	ভোটদান
কৃষ্ণপুর	কৃষ্ণপুর
চলচ্চিত্রটিতে	চলচ্চিত্র
পতাকাবাহী	পতাকা
মহিলাই	মহিলা
মিতালী	মিতালী
মেনুতে	মেনু
পিলের	পিল
তিরমিযী	তিরমিযী
চৌহদ্দির	চৌহদ্দি
ভ্যাকসিন	ভ্যাকসিন
বিজয়নগরের	বিজয়
লিখেও	লিখ
বাকির	বাকি
মেঘনাদবধ	মেঘনাদবধ
মুয়াজ্জিন	মুয়াজ্জিন
ক্লিনিকে	ক্লিনিক
বইমেলায়	বই
কমান্ডিং	কমান্ড
বেলজিয়ামে	বেলজিয়াম
পদাধিকার	পদ
কুরবানির	কুরবান
কুমড়া	কুমড়া
যদিনা	যদি
